tconst	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
tt0019421	Steamboat Bill, Jr.	Steamboat Bill, Jr.	1928	70	Action,Comedy,Drama	7.8	15163
tt0019429	Street Angel	Street Angel	1928	102	Drama	7.3	2439
tt0019558	The Wedding March	The Wedding March	1928	113	Drama	7.4	1814
tt0019563	West of Zanzibar	West of Zanzibar	1928	65	Drama,Mystery	7.2	1839
tt0019585	The Wind	The Wind	1927	95	Drama,Romance,Thriller	8.0	6847
tt0019591	A Woman of Affairs	A Woman of Affairs	1928	98	Drama	7.2	1625
tt0019611	Zvenigora	Zvenigora	1927	68	Drama,Fantasy	7.1	1086
tt0019644	Applause	Applause	1929	80	Drama,Musical,Romance	7.1	1434
tt0019646	L'Argent	L'argent	1928	195	Drama,Romance	7.5	1101
tt0019649	Arsenal	Arsenal	1929	93	Drama,War	7.2	2200
tt0019655	Asphalt	Asphalt	1929	90	Crime,Drama,Romance	7.4	1607
tt0019702	Blackmail	Blackmail	1929	85	Crime,Thriller	6.9	11219
tt0019729	The Broadway Melody	The Broadway Melody	1929	100	Drama,Musical,Romance	5.6	7513
tt0019735	Bulldog Drummond	Bulldog Drummond	1929	90	Crime,Drama,Mystery	6.3	1133
tt0019760	Man with a Movie Camera	Chelovek s kino-apparatom	1929	68	Documentary,Music	8.4	26221
tt0019777	The Cocoanuts	The Cocoanuts	1929	96	Adventure,Comedy,Musical	6.8	7871
tt0019788	Coquette	Coquette	1929	76	Drama,Romance	5.6	2240
tt0019811	Desert Nights	Desert Nights	1929	62	Drama	6.7	1196
tt0019823	Disraeli	Disraeli	1929	90	Biography,Drama,History	6.1	1275
tt0019901	Woman in the Moon	Frau im Mond	1929	156	Adventure,Comedy,Drama	7.3	3621
tt0019959	Hallelujah	Hallelujah	1929	109	Drama,Musical	6.7	1903
tt0019993	The Hollywood Revue of 1929	The Hollywood Revue of 1929	1929	130	Comedy,Music	5.8	2155
tt0020018	In Old Arizona	In Old Arizona	1928	95	Music,Western	5.5	1181
tt0020030	The Iron Mask	The Iron Mask	1929	95	Adventure,Drama,History	7.0	1319
tt0020062	The Kiss	The Kiss	1929	62	Drama,Romance	6.8	1169
tt0020112	The Love Parade	The Love Parade	1929	107	Comedy,Musical,Romance	7.0	2448
tt0020122	Lucky Star	Lucky Star	1929	100	Drama,Romance	7.7	1417
tt0020142	The Manxman	The Manxman	1929	110	Drama,Romance	6.2	3105
tt0020143	Marianne	Marianne	1929	111	Drama,Musical,Romance	6.1	1254
tt0020163	People on Sunday	Menschen am Sonntag	1930	73	Comedy,Drama,Romance	7.3	3306
tt0020269	Piccadilly	Piccadilly	1929	92	Crime,Drama	7.1	1727
tt0020298	Queen Kelly	Queen Kelly	1932	101	Drama	7.1	3295
tt0020442	Spite Marriage	Spite Marriage	1929	76	Comedy	7.0	2301
tt0020451	Old and New	Staroye i novoye	1929	121	Drama	7.2	1609
tt0020475	Diary of a Lost Girl	Tagebuch einer Verlorenen	1929	104	Drama,Music	7.8	4594
tt0020514	The Trespasser	The Trespasser	1929	90	Drama,Music,Romance	6.5	1392
tt0020570	White Hell of Pitz Palu	Die weiße Hölle vom Piz Palü	1929	150	Action,Adventure,Drama	7.3	1045
tt0020620	Abraham Lincoln	Abraham Lincoln	1930	96	Biography,Drama,War	5.6	1600
tt0020629	All Quiet on the Western Front	All Quiet on the Western Front	1930	152	Drama,War	8.1	64699
tt0020640	Animal Crackers	Animal Crackers	1930	97	Comedy,Family,Musical	7.4	14777
tt0020641	Anna Christie	Anna Christie	1930	89	Drama,Romance	6.6	3305
tt0020668	The Bat Whispers	The Bat Whispers	1930	83	Crime,Drama,Horror	6.3	1072
tt0020686	The Big House	The Big House	1930	87	Crime,Drama,Thriller	7.1	2368
tt0020691	The Big Trail	The Big Trail	1930	125	Adventure,Romance,Western	7.1	4027
tt0020697	The Blue Angel	Der blaue Engel	1930	104	Drama,Music	7.7	15542
tt0020768	City Girl	City Girl	1930	77	Drama,Romance	7.7	3446
tt0020793	Escape from Dartmoor	A Cottage on Dartmoor	1929	88	Crime,Drama	7.6	1175
tt0020815	The Dawn Patrol	The Dawn Patrol	1930	108	Action,Drama,War	7.1	1911
tt0020827	The Divorcee	The Divorcee	1930	84	Drama,Romance	6.7	3325
tt0020836	The Doorway to Hell	The Doorway to Hell	1930	78	Crime,Drama	6.5	1236
tt0020876	Feet First	Feet First	1930	93	Adventure,Comedy,Family	6.7	1132
tt0020891	The Florodora Girl	The Florodora Girl	1930	79	Drama,Musical,Mystery	6.1	1353
tt0020960	Hell's Angels	Hell's Angels	1930	127	Drama,War	7.3	5601
tt0021015	Juno and the Paycock	Juno and the Paycock	1929	85	Comedy,Drama	4.6	2419
tt0021025	King of Jazz	King of Jazz	1930	99	Animation,Comedy,Musical	6.7	1471
tt0021040	Ladies of Leisure	Ladies of Leisure	1930	99	Drama,Romance	6.7	1290
tt0021079	Little Caesar	Little Caesar	1931	79	Action,Crime,Drama	7.2	13752
tt0021106	Madam Satan	Madam Satan	1930	116	Comedy,Drama,Musical	6.4	1133
tt0021148	Min and Bill	Min and Bill	1930	69	Comedy,Drama	6.7	1831
